iter	Passed	Remaining
700	63124	26924
701	63228	26840
702	63299	26742
703	63375	26646
704	63462	26555
705	63554	26465
706	63651	26378
707	63725	26282
708	63879	26218
709	63963	26126
710	64049	26034
711	64140	25944
712	64212	25847
713	64284	25749
714	64364	25655
715	64487	25578
716	64561	25482
717	64648	25391
718	64723	25295
719	64802	25200
720	64881	25106
721	64992	25024
722	65093	24938
723	65190	24851
724	65268	24756
725	65349	24663
726	65422	24567
727	65521	24480
728	65593	24383
729	65693	24297
730	65791	24210
731	65865	24114
732	65956	24025
733	66076	23945
734	66189	23864
735	66305	23783
736	66438	23708
737	66514	23613
738	66581	23515
739	66653	23418
740	66717	23319
741	66801	23227
742	66908	23143
743	67015	23059
744	67091	22964
745	67182	22874
746	67259	22780
747	67336	22685
748	67422	22594
749	67505	22501
750	67607	22415
751	67691	22323
752	67772	22230
753	67857	22139
754	67938	22046
755	68009	21950
756	68098	21859
757	68220	21780
758	68388	21715
759	68496	21630
760	68577	21537
761	68741	21470
762	68847	21385
763	68943	21296
764	69091	21224
765	69187	21135
766	69302	21052
767	69401	20964
768	69493	20875
769	69590	20786
770	69687	20698
771	69804	20615
772	69900	20526
773	69976	20432
774	70112	20355
775	70196	20262
776	70277	20169
777	70374	20081
778	70489	19997
779	70585	19908
780	70686	19821
781	70777	19730
782	70858	19637
783	70964	19551
784	71087	19469
785	71188	19382
786	71265	19287
787	71340	19193
788	71414	19098
789	71501	19006
790	71576	18912
791	71688	18827
792	71801	18742
793	71902	18654
794	71977	18560
795	72071	18470
796	72148	18376
797	72220	18281
798	72294	18186
799	72414	18103
800	72536	18020
801	72628	17930
802	72709	17837
803	72797	17746
804	72888	17656
805	72962	17561
806	73083	17478
807	73163	17385
808	73277	17300
809	73387	17214
810	73467	17121
811	73556	17030
812	73655	16941
813	73815	16867
814	73905	16776
815	73992	16684
816	74098	16597
817	74178	16504
818	74251	16409
819	74338	16318
820	74461	16234
821	74575	16148
822	74669	16058
823	74740	15964
824	74831	15873
825	75009	15801
826	75134	15717
827	75274	15636
828	75349	15542
829	75452	15454
830	75570	15368
831	75672	15279
832	75782	15192
833	75871	15101
834	75988	15015
835	76106	14930
836	76182	14835
837	76255	14741
838	76335	14648
839	76417	14555
840	76498	14462
841	76629	14379
842	76733	14290
843	76829	14200
844	76919	14109
845	77016	14019
846	77110	13928
847	77199	13837
848	77309	13749
849	77408	13660
850	77510	13571
851	77597	13479
852	77672	13385
853	77770	13295
854	77862	13204
855	78029	13126
856	78130	13036
857	78216	12945
858	78300	12852
859	78382	12760
860	78469	12668
861	78550	12575
862	78664	12487
863	78759	12397
864	78838	12304
865	78921	12211
866	79063	12128
867	79230	12048
868	79375	11965
869	79570	11889
870	79735	11809
871	79817	11716
872	79891	11622
873	79995	11532
874	80092	11441
875	80173	11348
876	80291	11260
877	80404	11172
878	80488	11079
879	80593	10990
880	80677	10897
881	80769	10805
882	80866	10715
883	80981	10626
884	81111	10539
885	81193	10447
886	81321	10359
887	81410	10267
888	81502	10176
889	81612	10086
890	81737	9999
891	81815	9905
892	81926	9816
893	82010	9723
894	82123	9634
895	82202	9541
896	82274	9447
897	82383	9357
898	82466	9264
899	82558	9173
900	82650	9081
901	82755	8991
902	82828	8897
903	82901	8803
904	83000	8712
905	83086	8620
906	83234	8534
907	83313	8441
908	83394	8348
909	83468	8255
910	83541	8161
911	83642	8070
912	83732	7978
913	83837	7888
914	83916	7795
915	83990	7702
916	84080	7610
917	84159	7517
918	84263	7426
919	84352	7334
920	84429	7242
921	84504	7148
922	84582	7056
923	84657	6963
924	84731	6870
925	84831	6779
926	84903	6686
927	84985	6593
928	85070	6501
929	85178	6411
930	85267	6319
931	85338	6226
932	85452	6136
933	85527	6043
934	85614	5951
935	85683	5858
936	85756	5765
937	85832	5673
938	85905	5580
939	86029	5491
940	86121	5399
941	86197	5307
942	86275	5214
943	86372	5123
944	86452	5031
945	86535	4939
946	86647	4849
947	86718	4756
948	86792	4664
949	86867	4571
950	86947	4479
951	87043	4388
952	87143	4297
953	87244	4206
954	87323	4114
955	87389	4022
956	87461	3929
957	87548	3838
958	87623	3746
959	87705	3654
960	87800	3563
961	87872	3471
962	87943	3378
963	88048	3288
964	88126	3196
965	88193	3104
966	88302	3013
967	88404	2922
968	88490	2830
969	88574	2739
970	88645	2647
971	88723	2555
972	88797	2464
973	88892	2372
974	89015	2282
975	89118	2191
976	89214	2100
977	89301	2008
978	89372	1917
979	89445	1825
980	89517	1733
981	89615	1642
982	89695	1551
983	89766	1459
984	89840	1368
985	89915	1276
986	90039	1185
987	90120	1094
988	90257	1003
989	90337	912
990	90407	821
991	90484	729
992	90553	638
993	90621	547
994	90714	455
995	90813	364
996	90944	273
997	91020	182
998	91097	91
999	91170	0
